,name,building,Floor,Lab,hood,Server,Flow Sensor,Sash,Occupancy,Internal Temp,External Temp,FloorNum,Energy Occupied,Energy Unoccupied,Sash Open Time Occupied,Sash Open Time Unoccupied
10,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,221B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_221B.Hood_1.energy.occ,Biotech.nanFloor.Lab_221B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_221B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_221B.Hood_1.sashOpenTime.unocc
11,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,227,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_227.Hood_1.energy.occ,Biotech.nanFloor.Lab_227.Hood_1.energy.unocc,Biotech.nanFloor.Lab_227.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_227.Hood_1.sashOpenTime.unocc
12,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,227B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_227B.Hood_1.energy.occ,Biotech.nanFloor.Lab_227B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_227B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_227B.Hood_1.sashOpenTime.unocc
13,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,233,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_233.Hood_1.energy.occ,Biotech.nanFloor.Lab_233.Hood_1.energy.unocc,Biotech.nanFloor.Lab_233.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_233.Hood_1.sashOpenTime.unocc
14,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,233B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_233B.Hood_1.energy.occ,Biotech.nanFloor.Lab_233B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_233B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_233B.Hood_1.sashOpenTime.unocc
15,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,241,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_241.Hood_1.energy.occ,Biotech.nanFloor.Lab_241.Hood_1.energy.unocc,Biotech.nanFloor.Lab_241.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_241.Hood_1.sashOpenTime.unocc
16,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,241B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_241B.Hood_1.energy.occ,Biotech.nanFloor.Lab_241B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_241B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_241B.Hood_1.sashOpenTime.unocc
17,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,253,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_253.Hood_1.energy.occ,Biotech.nanFloor.Lab_253.Hood_1.energy.unocc,Biotech.nanFloor.Lab_253.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_253.Hood_1.sashOpenTime.unocc
18,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,253B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_253B.Hood_1.energy.occ,Biotech.nanFloor.Lab_253B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_253B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_253B.Hood_1.sashOpenTime.unocc
19,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,257,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_257.Hood_1.energy.occ,Biotech.nanFloor.Lab_257.Hood_1.energy.unocc,Biotech.nanFloor.Lab_257.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_257.Hood_1.sashOpenTime.unocc
20,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,257B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_257B.Hood_1.energy.occ,Biotech.nanFloor.Lab_257B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_257B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_257B.Hood_1.sashOpenTime.unocc
21,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,260,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_260.Hood_1.energy.occ,Biotech.nanFloor.Lab_260.Hood_1.energy.unocc,Biotech.nanFloor.Lab_260.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_260.Hood_1.sashOpenTime.unocc
22,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,260B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_260B.Hood_1.energy.occ,Biotech.nanFloor.Lab_260B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_260B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_260B.Hood_1.sashOpenTime.unocc
23,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,267,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_267.Hood_1.energy.occ,Biotech.nanFloor.Lab_267.Hood_1.energy.unocc,Biotech.nanFloor.Lab_267.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_267.Hood_1.sashOpenTime.unocc
24,Biotech.Floor_4.Lab_457B.Hood_1,biotech,2,267B,1,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_267B.Hood_1.energy.occ,Biotech.nanFloor.Lab_267B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_267B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_267B.Hood_1.sashOpenTime.unocc
25,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,303,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_303.Hood_1.energy.occ,Biotech.nanFloor.Lab_303.Hood_1.energy.unocc,Biotech.nanFloor.Lab_303.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_303.Hood_1.sashOpenTime.unocc
26,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,303B,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_303B.Hood_1.energy.occ,Biotech.nanFloor.Lab_303B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_303B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_303B.Hood_1.sashOpenTime.unocc
27,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,309,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_309.Hood_1.energy.occ,Biotech.nanFloor.Lab_309.Hood_1.energy.unocc,Biotech.nanFloor.Lab_309.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_309.Hood_1.sashOpenTime.unocc
28,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,309B,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_309B.Hood_1.energy.occ,Biotech.nanFloor.Lab_309B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_309B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_309B.Hood_1.sashOpenTime.unocc
29,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,317,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_317.Hood_1.energy.occ,Biotech.nanFloor.Lab_317.Hood_1.energy.unocc,Biotech.nanFloor.Lab_317.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_317.Hood_1.sashOpenTime.unocc
30,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,317B,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_317B.Hood_1.energy.occ,Biotech.nanFloor.Lab_317B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_317B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_317B.Hood_1.sashOpenTime.unocc
31,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,318,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_318.Hood_1.energy.occ,Biotech.nanFloor.Lab_318.Hood_1.energy.unocc,Biotech.nanFloor.Lab_318.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_318.Hood_1.sashOpenTime.unocc
32,Biotech.Floor_4.Lab_457B.Hood_1,biotech,3,321,1,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_321.Hood_1.energy.occ,Biotech.nanFloor.Lab_321.Hood_1.energy.unocc,Biotech.nanFloor.Lab_321.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_321.Hood_1.sashOpenTime.unocc
